text,kategori
Esra öl be kızım Ozan da senin arkandan bileklerini keser ahirette kavuşursunuz aq bu yamur karısı siz başka türlü rahat bırakmıcak,Tehdit
“Sen bilirsin aq karısı” 50 lirayı cebine geri sokar,Hakaret
Trakya da bir söz vardır ağzı olan konuşmasın sokarım ağzına,Tehdit
Dayı senin amını damı siker taliban militanı amk çocuklarının sakallarını tel tel götüne sokarım amk oğlu seni Arabı radikal islamcıyı yalayacaksan siktir git Molla Heybetullah Ahundzade nin kucağınd afganistanda yaşa,Hakaret
bıraktıkların banyo terliği amk kürdü evde onlarla mı gezecen,Hakaret
Ben bu kadını çok pis sikerim bı sokarsam 21cm miğdesine kadar girer götune sokim,Cinsel Taciz
Amq satanisti keser şizo müslümanı keser nedir kedi hayvanının bu dincilerden çektiği,Hakaret
Orada gebertirim dayaktan ve yaşına falan bakıp bi saniye tereddüt edersen şerefsizim,Tehdit
kes ağlamayı sokarım bağlamayı,Tehdit
Adam barışçıl bi şekilde böyle durumlara düşmeyelim diye yazıyor senin gibi ezikler korktu aq gavuru sikeriz sokariz yaziyorsunuz Rustan bir farkiniz olsun,Hakaret
onun yüreğine sokarım hain pezevenk,Tehdit
Orrospu çocuğuna bak birde Türk bayrağını almış üstüne piçi takalayıp baltayla götünü ezeceksinnn,Tehdit
Amk salagı ön ödeme istemiyorum para atıyorsun video alıyorsun Bunun tersi nasıl olacak her video at para gönderecegim diyene önden video atıp sonra köle götündemi gezecegim param nerde diye Reel veriyorum deyip ön ödeme istiyorsa birisi dolandırıcıdır,Hakaret
bu cografya da tessetturlu ve dinci yobaz kismi bir tek solculara karsi sokaga cikar insan yakip kafa keserler anasini onunde bir baska dinci duzsse anam fahise dir diyen bu pedofil mahlukatlar dan cok sey beklemeyin aq he analari da fahise dir bunlarin bak onda haklilar,Hakaret
Vay Aman tanrım tamam bu yüzden gerçekten uzun bir sayfa yaptım ve siz sildiniz teşekkürler BIOTCHHHHH Tanrım Eşyalarımı silmeyi bırak yoksa yoksa dava edeceğim faaaagggggggg eşyalarımı silmeyi bırak yoksa seni bulurum ve seni öldüreceğim öldürmek öldürmek öldür,Tehdit
Hayda öyle diyen malı gebertirim benim sevgil abi kimse takılamaz jsksjsksksks,Tehdit
